id,Fattening_group.Pen,age,weight,dfi,cfi
74,202001-69,41,99.5,2.361,143.42232414140244
74,202001-69,42,100.0,2.968,146.39032414140243
74,202001-69,43,102.0,2.903,149.29332414140242
74,202001-69,44,102.25,3.282,152.57532414140243
74,202001-69,45,103.0,2.214,154.78932414140243
74,202001-69,46,104.5,2.989,157.77832414140244
74,202001-69,47,105.75,2.599,160.37732414140243
74,202001-69,48,106.0,2.806,163.18332414140244
74,202001-69,49,108.0,2.536,165.71932414140244
74,202001-69,50,108.0,2.688,168.40732414140243
74,202001-69,51,108.5,2.683,171.09032414140242
74,202001-69,52,109.5,2.794,173.88432414140243
74,202001-69,53,109.75,3.08,176.96432414140244
74,202001-69,54,111.5,2.687,179.65132414140245
74,202001-69,55,112.5,2.683,182.33432414140245
74,202001-69,56,113.25,3.124,185.45832414140244
74,202001-69,57,114.0,2.513,187.97132414140245
74,202001-69,58,115.0,2.322,190.29332414140245
74,202001-69,59,115.75,2.641,192.93432414140244
74,202001-69,60,118.0,2.795,195.72932414140243
74,202001-69,61,119.0,2.894,198.62332414140243
74,202001-69,62,120.75,2.918,201.54132414140244
74,202001-69,63,120.0,3.239,204.78032414140245
74,202001-69,64,120.75,2.934,207.71432414140244
74,202001-69,65,122.5,2.85,210.56432414140244
74,202001-69,66,122.75,3.009,213.57332414140242
74,202001-69,67,124.0,3.293,216.86632414140243
74,202001-69,68,124.5,3.186,220.05232414140244
74,202001-69,69,126.5,2.97,223.02232414140244
74,202001-69,70,126.25,2.704,225.72632414140244
74,202001-69,71,127.25,3.344,229.07032414140244
74,202001-69,72,128.0,2.816,231.88632414140244
74,202001-69,73,128.75,2.317,234.20332414140245
74,202001-69,74,129.0,3.01,237.21332414140244
74,202001-69,75,129.5,2.553,239.76632414140244
74,202001-69,76,130.75,3.05,242.81632414140245
3,202004-93,1,44.5,1.203,40.85422098129533
3,202004-93,2,47.5,2.11,42.96422098129533
3,202004-93,3,47.5,1.884,44.84822098129533
3,202004-93,4,49.0,2.285,47.133220981295324
3,202004-93,5,50.75,2.589,49.72222098129532
3,202004-93,6,52.0,1.916,51.63822098129532
3,202004-93,7,53.0,1.7,53.33822098129532
3,202004-93,8,54.0,2.545,55.883220981295324
3,202004-93,9,55.5,2.228,58.111220981295325
3,202004-93,10,56.5,2.326,60.437220981295326
3,202004-93,11,57.0,2.31,62.74722098129533
3,202004-93,12,58.5,2.738,65.48522098129533
3,202004-93,13,60.0,2.135,67.62022098129533
3,202004-93,14,60.5,2.704,70.32422098129533
