id,age,dfi,weight
76,5,1.275,42.0
76,6,1.526,42.5
76,7,1.611,43.5
76,8,1.496,43.5
76,9,1.615,45.0
76,10,2.27,46.5
76,11,1.992,47.5
76,12,1.656,49.0
76,13,1.729,49.5
76,14,2.091,49.75
76,15,1.819,50.5
76,16,1.568,47.5
76,17,2.275,51.5
76,18,1.958,52.0
76,19,2.075,54.5
76,20,1.949,55.25
76,21,1.979,55.5
76,22,2.214,57.0
76,23,2.347,58.0
76,24,2.349,59.0
76,25,0.926,60.0
76,26,1.614,61.5
76,27,2.123,62.5
76,28,2.493,63.125
76,29,2.09,65.0
76,30,2.15,66.5
76,31,2.077,66.273
76,32,2.092,67.145
76,33,2.107,68.017
76,34,1.985,69.0
76,35,2.101,69.5
76,36,1.914,69.5
76,37,2.234,71.5
76,38,2.423,72.25
76,39,2.134,73.0
76,40,1.979,75.0
76,41,3.031,76.0
76,42,2.315,76.75
76,43,2.641,77.75
76,44,2.381,78.75
76,45,2.699,80.0
76,46,2.561,81.75
76,47,2.327,83.0
76,48,2.997,84.0
76,49,2.712,84.75
76,50,2.85,84.5
76,51,2.641,87.5
76,52,2.419,88.5
76,53,2.729,90.0
76,54,2.639,89.5
76,55,2.675,91.617
76,56,3.037,93.5
76,57,2.382,93.5
